feature,importance,fold
ACTIVE_AMT_ANNUITY_MAX,1184.4711454957724,15
ACTIVE_AMT_ANNUITY_MEAN,826.7512835264206,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,2507.4960028231144,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,2634.2844047509134,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MIN,682.3766578435898,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_SKEW,540.0508082024753,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_VAR,1193.972397327423,15
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,5838.751798046753,15
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,7621.412037340924,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,3055.1053846748546,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,1886.2114322334528,15
ACTIVE_AMT_CREDIT_SUM_MEAN,8822.802945027477,15
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,1062.6644208729267,15
ACTIVE_AMT_CREDIT_SUM_SUM,9379.721949992469,15
ACTIVE_CREDIT_ACTIVE_BINARY_MEAN,0.0,15
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,19.2390398979187,15
ACTIVE_CREDIT_ENDDATE_BINARY_MEAN,2989.486408091616,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MAX,1390.8150082385982,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MEAN,1101.860876120627,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MIN,968.5177507176995,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_VAR,108.08165967464447,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MAX,9575.179927568883,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MEAN,11166.022937722504,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MIN,36145.74415484769,15
