feature,importance,fold
ACTIVE_AMT_ANNUITY_MAX,289.3298382908106,15
ACTIVE_AMT_ANNUITY_MEAN,259.92652130126953,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,1035.9211767315865,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,668.3290991187096,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MIN,473.2822848558426,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_SKEW,169.2893795967102,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_VAR,350.7469787597656,15
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,2085.2724430300295,15
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,1797.391521975398,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,695.7470435500145,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,298.32241429388523,15
ACTIVE_AMT_CREDIT_SUM_MEAN,1925.3267674222589,15
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,357.0830600261688,15
ACTIVE_AMT_CREDIT_SUM_SUM,3171.3206549696624,15
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,21.63512945175171,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MAX,233.3004412651062,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MEAN,263.0851377248764,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MIN,315.92841002345085,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_VAR,37.57585048675537,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MAX,4486.280592724681,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MEAN,7341.846075898968,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MIN,16260.477959185839,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MAX,133.42845684289932,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MEAN,109.80422925949097,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MIN,574.8528261780739,15
ACTIVE_CREDIT_SUM_TO_MAX_OVERDUE_RATIO_MIN,1010.6344382762909,15
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MAX,0.0,15
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MEAN,0.0,15
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MIN,78.12187027931213,15
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,2396.4870736673474,15
ACTIVE_DAYS_CREDIT_MAX,2506.4092027693987,15
ACTIVE_DAYS_CREDIT_MEAN,2938.589763917029,15
ACTIVE_DAYS_CREDIT_MIN,1253.7740901000798,15
ACTIVE_DAYS_CREDIT_SKEW,1535.085086748004,15
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,1700.1588516049087,15
ACTIVE_DAYS_CREDIT_VAR,1171.9078952670097,15
ACTIVE_DAY_OVERDUE_TO_DAYS_CREDIT_RATIO_SKEW,113.32158899307251,15
ACTIVE_DAY_OVERDUE_TO_DAYS_CREDIT_RATIO_VAR,70.8412504196167,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MAX,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MEAN,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MIN,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_SKEW,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_VAR,0.0,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MAX,2136.482408836484,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MEAN,1706.4320142567158,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MIN,2583.3537982851267,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_SKEW,916.7592877745628,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_VAR,1638.586705520749,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MAX,351.8672850728035,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MEAN,540.9606903195381,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MIN,571.6477998495102,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_SKEW,74.82044959068298,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_VAR,494.77043104171753,15
ACTIVE_MONTHS_BALANCE_MAX_MAX,0.0,15
ACTIVE_MONTHS_BALANCE_MIN_MIN,442.3621402978897,15
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,541.4360535144806,15
ACTIVE_MONTHS_BALANCE_SIZE_SUM,509.6306736767292,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_MAX,1587.5456247739494,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_MEAN,1570.8696685135365,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_MIN,907.4583236603066,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_SKEW,874.3461099267006,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_VAR,1678.6480554826558,15
AMT_ANNUITY,6141.406434956938,15
AMT_CREDIT,3802.4663142487407,15
AMT_GOODS_PRICE,6063.44487658143,15
AMT_INCOME_TOTAL,1192.5710224211216,15
AMT_REQ_CREDIT_BUREAU_DAY,0.0,15
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,15
AMT_REQ_CREDIT_BUREAU_MON,66.76324528455734,15
AMT_REQ_CREDIT_BUREAU_QRT,181.7487894296646,15
AMT_REQ_CREDIT_BUREAU_WEEK,4.4193501472473145,15
AMT_REQ_CREDIT_BUREAU_YEAR,365.6472671031952,15
APARTMENTS_AVG,1115.2726455032825,15
APARTMENTS_MEDI,744.6290429458022,15
APARTMENTS_MODE,902.5966680049896,15
APPROVED_AMT_ANNUITY_MAX,1334.532714381814,15
