feature,importance,fold
ACTIVE_AMT_ANNUITY_MAX,148.42421334981918,15
ACTIVE_AMT_ANNUITY_MEAN,186.5257871747017,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,824.8245587050915,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,829.3758848533034,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MIN,226.75269597023726,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_SKEW,38.64913010597229,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_VAR,352.08900278806686,15
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,2143.0815323013812,15
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,1275.1491141095757,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,1280.073005914688,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,266.7110913693905,15
ACTIVE_AMT_CREDIT_SUM_MEAN,2491.579091402469,15
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,14.038280129432678,15
ACTIVE_AMT_CREDIT_SUM_SUM,1730.1668348312378,15
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.0,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MAX,357.47205521166325,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MEAN,197.29943943023682,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MIN,335.945688739419,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_VAR,5.279450178146362,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MAX,3762.0010851584375,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MEAN,4495.274114869535,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MIN,11648.688769635744,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MAX,211.7308156490326,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MEAN,194.73935410380363,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MIN,867.5379082575673,15
ACTIVE_CREDIT_SUM_TO_MAX_OVERDUE_RATIO_MIN,1221.511338017648,15
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MAX,0.0,15
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MEAN,0.0,15
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MIN,21.61228311061859,15
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,3566.624701188761,15
ACTIVE_DAYS_CREDIT_MAX,3421.5490937819704,15
ACTIVE_DAYS_CREDIT_MEAN,2243.41326522734,15
ACTIVE_DAYS_CREDIT_MIN,1750.0376640949398,15
ACTIVE_DAYS_CREDIT_SKEW,1338.1746463179588,15
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,1409.8213347585988,15
ACTIVE_DAYS_CREDIT_VAR,1039.826495360583,15
ACTIVE_DAY_OVERDUE_TO_DAYS_CREDIT_RATIO_SKEW,52.80831861495972,15
ACTIVE_DAY_OVERDUE_TO_DAYS_CREDIT_RATIO_VAR,36.94248008728027,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MAX,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MEAN,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MIN,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_SKEW,0.0,15
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_VAR,0.0,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MAX,1487.1913951134775,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MEAN,1878.9002345884219,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MIN,1124.289887432009,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_SKEW,519.2586728930473,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_VAR,1546.5006104204804,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MAX,188.0899695456028,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MEAN,1608.413781017065,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MIN,1575.927771963179,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_SKEW,10.250140190124512,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_VAR,472.6253915131092,15
ACTIVE_MONTHS_BALANCE_MAX_MAX,81.70626837015152,15
ACTIVE_MONTHS_BALANCE_MIN_MIN,224.029210627079,15
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,823.6843227781355,15
ACTIVE_MONTHS_BALANCE_SIZE_SUM,363.2112800478935,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_MAX,1927.0640079713194,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_MEAN,2059.9780797650164,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_MIN,1141.8809521729127,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_SKEW,1220.783392187208,15
ACTIVE_UPDATE_TO_DAYS_CREDIT_RATIO_VAR,1497.0688951388001,15
AMT_ANNUITY,7168.320818464272,15
AMT_CREDIT,3297.4973300993443,15
AMT_GOODS_PRICE,8679.27863893658,15
AMT_INCOME_TOTAL,1716.8251259587705,15
AMT_REQ_CREDIT_BUREAU_DAY,0.0,15
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,15
AMT_REQ_CREDIT_BUREAU_MON,7.626239776611328,15
AMT_REQ_CREDIT_BUREAU_QRT,1146.5198127627373,15
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,15
AMT_REQ_CREDIT_BUREAU_YEAR,344.04701149463654,15
APARTMENTS_AVG,1314.950083708507,15
APARTMENTS_MEDI,1399.0654495432973,15
APARTMENTS_MODE,1161.651154274121,15
APPROVED_AMT_ANNUITY_MAX,1771.7152612432837,15
APPROVED_AMT_ANNUITY_MEAN,784.1396040245891,15
APPROVED_AMT_APPLICATION_MAX,1119.6268951110542,15
APPROVED_AMT_APPLICATION_MEAN,454.35049679502845,15
APPROVED_AMT_CREDIT_MAX,698.7531025186181,15
APPROVED_AMT_CREDIT_MEAN,548.8222258975729,15
APPROVED_AMT_DOWN_PAYMENT_MAX,2440.8937999185873,15
APPROVED_AMT_DOWN_PAYMENT_MEAN,766.8431462086737,15
APPROVED_AMT_GOODS_PRICE_MAX,588.0659359842539,15
APPROVED_AMT_GOODS_PRICE_MEAN,657.854640468955,15
APPROVED_ANNUITY_TO_CNT_PAYMENT_RATIO_MAX,1318.3567182943225,15
APPROVED_ANNUITY_TO_CNT_PAYMENT_RATIO_MEAN,1465.2046128287911,15
APPROVED_ANNUITY_TO_CNT_PAYMENT_RATIO_MIN,1153.7082734826636,15
APPROVED_ANNUITY_TO_CNT_PAYMENT_RATIO_SKEW,465.13139802217484,15
APPROVED_ANNUITY_TO_CNT_PAYMENT_RATIO_VAR,1080.0269092244562,15
APPROVED_ANNUITY_TO_DAYS_DECISION_RATIO_MAX,1359.049434736371,15
APPROVED_ANNUITY_TO_DAYS_DECISION_RATIO_MEAN,1733.4131569936872,15
APPROVED_ANNUITY_TO_DAYS_DECISION_RATIO_MIN,997.0999352727085,15
APPROVED_ANNUITY_TO_DAYS_DECISION_RATIO_SKEW,1482.8357698470354,15
APPROVED_ANNUITY_TO_DAYS_DECISION_RATIO_VAR,382.36403980851173,15
APPROVED_APPLICATION_TO_CNT_PAYMENT_RATIO_MAX,1036.895840536803,15
APPROVED_APPLICATION_TO_CNT_PAYMENT_RATIO_MEAN,632.6733357962221,15
APPROVED_APPLICATION_TO_CNT_PAYMENT_RATIO_MIN,816.8615416008979,15
APPROVED_APPLICATION_TO_CNT_PAYMENT_RATIO_SKEW,749.5373308211565,15
APPROVED_APPLICATION_TO_CNT_PAYMENT_RATIO_VAR,1464.17968908092,15
APPROVED_APP_CREDIT_PERC_MAX,1904.669980472885,15
APPROVED_APP_CREDIT_PERC_MEAN,1089.6131845787168,15
APPROVED_CNT_PAYMENT_MAX,591.2842516452074,15
APPROVED_CNT_PAYMENT_MEAN,1119.3287647534162,15
APPROVED_CNT_PAYMENT_MIN,32.35589811205864,15
APPROVED_CNT_PAYMENT_SKEW,765.5554028423503,15
APPROVED_CNT_PAYMENT_SUM,616.0981116341427,15
APPROVED_CNT_PAYMENT_VAR,2188.279167991597,15
APPROVED_CREDIT_PERC_TO_ANNUITY_RATIO_MAX,627.0959659330547,15
APPROVED_CREDIT_PERC_TO_ANNUITY_RATIO_MEAN,771.0024515986443,15
APPROVED_CREDIT_PERC_TO_ANNUITY_RATIO_MIN,1648.3978992528282,15
APPROVED_CREDIT_PERC_TO_ANNUITY_RATIO_SKEW,1286.3249149024487,15
APPROVED_CREDIT_PERC_TO_ANNUITY_RATIO_VAR,395.17871175706387,15
APPROVED_CREDIT_PERC_TO_DAYS_DECISION_RATIO_MAX,1164.1464015245438,15
APPROVED_CREDIT_PERC_TO_DAYS_DECISION_RATIO_MEAN,1583.8459114230354,15
APPROVED_CREDIT_PERC_TO_DAYS_DECISION_RATIO_MIN,798.4927563238889,15
APPROVED_CREDIT_PERC_TO_DAYS_DECISION_RATIO_SKEW,1198.8987864237279,15
APPROVED_CREDIT_PERC_TO_DAYS_DECISION_RATIO_VAR,1162.6348737999797,15
APPROVED_CREDIT_PERC_TO_GOODS_RATIO_MAX,395.3065897449851,15
APPROVED_CREDIT_PERC_TO_GOODS_RATIO_MEAN,561.5667680390179,15
APPROVED_CREDIT_PERC_TO_GOODS_RATIO_MIN,1173.1818391839042,15
APPROVED_CREDIT_PERC_TO_GOODS_RATIO_SKEW,105.14938163757324,15
APPROVED_CREDIT_PERC_TO_GOODS_RATIO_VAR,852.3738210173324,15
APPROVED_CREDIT_TO_ANNUITY_RATIO_MAX,496.14936473593116,15
APPROVED_CREDIT_TO_ANNUITY_RATIO_MEAN,720.6996436824556,15
APPROVED_CREDIT_TO_ANNUITY_RATIO_MIN,969.934188099578,15
APPROVED_CREDIT_TO_ANNUITY_RATIO_SKEW,1672.5344072256703,15
APPROVED_CREDIT_TO_ANNUITY_RATIO_VAR,1021.6517365947366,15
APPROVED_CREDIT_TO_CNT_PAYMENT_RATIO_MAX,867.4009690825478,15
APPROVED_CREDIT_TO_CNT_PAYMENT_RATIO_MEAN,496.38471562205814,15
APPROVED_CREDIT_TO_CNT_PAYMENT_RATIO_MIN,447.9288260638714,15
APPROVED_CREDIT_TO_CNT_PAYMENT_RATIO_SKEW,832.2003933526576,15
APPROVED_CREDIT_TO_CNT_PAYMENT_RATIO_VAR,864.5776286553591,15
APPROVED_CREDIT_TO_DAYS_DECISION_RATIO_MAX,1053.4342809653608,15
