feature,importance,fold
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,31.65201147273183,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,8.617683947086334,15
ACTIVE_AMT_CREDIT_SUM_MEAN,72.19834950566292,15
ACTIVE_AMT_CREDIT_SUM_SUM,70.65130443125963,15
ACTIVE_CREDIT_ACTIVE_BINARY_MEAN,0.0,15
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.0,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MAX,18.21095985174179,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MEAN,18.037359952926636,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MIN,86.64152646064758,15
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,196.07957520149648,15
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,224.46310204360634,15
ACTIVE_MONTHS_BALANCE_MAX_MAX,0.0,15
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,94.78458095341921,15
ACTIVE_MONTHS_BALANCE_SIZE_SUM,21.4653447791934,15
AMT_ANNUITY,797.6676891716197,15
AMT_CREDIT,731.4038513451815,15
AMT_INCOME_TOTAL,216.54151887260377,15
AMT_REQ_CREDIT_BUREAU_DAY,1.7456799745559692,15
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,15
AMT_REQ_CREDIT_BUREAU_MON,1.3509700298309326,15
AMT_REQ_CREDIT_BUREAU_QRT,0.0,15
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,15
AMT_REQ_CREDIT_BUREAU_YEAR,15.492746591567993,15
APARTMENTS_AVG,109.51515191793442,15
APPROVED_ANNUITY_TO_CNT_PAYMENT_RATIO_SKEW,890.0625319480896,15
APPROVED_APPLICATION_TO_CNT_PAYMENT_RATIO_SKEW,155.97069691121578,15
APPROVED_CREDIT_TO_CNT_PAYMENT_RATIO_SKEW,455.00027602910995,15
BASEMENTAREA_AVG,139.89571331680054,15
