feature,importance,fold
ACTIVE_AMT_ANNUITY_MAX,0.0038432749038153596,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,0.007537841517845109,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.006496737947020659,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MIN,0.00417125159849987,15
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.009283415536669577,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.0031501207028370574,15
ACTIVE_AMT_CREDIT_SUM_MEAN,0.008407871702886788,15
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0030486078675161406,15
ACTIVE_AMT_CREDIT_SUM_SUM,0.00879827703307698,15
ACTIVE_CREDIT_ACTIVE_BINARY_MEAN,0.0001207979016349154,15
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.0008693634711910604,15
ACTIVE_CREDIT_DAY_OVERDUE_MIN,0.00018497662711184672,15
ACTIVE_CREDIT_ENDDATE_BINARY_MEAN,0.0028246098725422963,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MEAN,0.0034214096862336825,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MIN,0.00386456761684483,15
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.01033525625141775,15
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.012089141359777442,15
ACTIVE_DAYS_CREDIT_MAX,0.01634498913378217,15
ACTIVE_DAYS_CREDIT_MEAN,0.012927418893361315,15
ACTIVE_DAYS_CREDIT_MIN,0.011773686245968798,15
ACTIVE_DAYS_CREDIT_SKEW,0.0068799315863730575,15
ACTIVE_DAYS_CREDIT_UPDATE_MAX,0.007996636135493791,15
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.009785427880838114,15
ACTIVE_DAYS_CREDIT_UPDATE_MIN,0.010091222114679037,15
ACTIVE_DAYS_CREDIT_VAR,0.007163724133366951,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MAX,0.010550115755127862,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MEAN,0.010573915632502238,15
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_VAR,0.008899329177595446,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MAX,0.0016909116113537762,15
ACTIVE_MAX_OVERDUE_TO_DAYS_CREDIT_RATIO_MEAN,0.0028106605471469115,15
