feature,importance,fold
ACTIVE_AMT_ANNUITY_MAX,50.365950384295516,15
ACTIVE_AMT_ANNUITY_MEAN,52.74888428735714,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,61.61773644601375,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,52.44422666994392,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MIN,55.25961957444444,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_SKEW,61.02475618085714,15
ACTIVE_AMT_CREDIT_MAX_OVERDUE_VAR,66.64951422365134,15
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,53.710731209000826,15
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,58.74628711978069,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,64.87191933427334,15
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,58.63218926780219,15
ACTIVE_AMT_CREDIT_SUM_MEAN,54.872752644035806,15
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,99.5740756184594,15
ACTIVE_AMT_CREDIT_SUM_SUM,65.37635095440682,15
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,27.681051063,14
ACTIVE_CREDIT_ENDDATE_BINARY_MEAN,52.67405474827345,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MAX,51.5683010155696,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MEAN,52.687291833041655,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_MIN,50.97608279268441,15
ACTIVE_CREDIT_SUM_TO_ANNUITY_RATIO_VAR,48.1273762102619,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MAX,64.94062803801833,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MEAN,62.85665176865659,15
ACTIVE_CREDIT_SUM_TO_DEBT_RATIO_MIN,124.73326494193411,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MAX,53.59537582713637,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MEAN,61.9408288180944,15
ACTIVE_CREDIT_SUM_TO_LIMIT_RATIO_MIN,58.39408331861236,15
ACTIVE_CREDIT_SUM_TO_MAX_OVERDUE_RATIO_MIN,54.263571481343604,15
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MAX,26.4898338,3
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MEAN,12.8580132,2
ACTIVE_CREDIT_SUM_TO_OVERDUE_RATIO_MIN,55.475037640000004,10
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,61.75579568609422,15
ACTIVE_DAYS_CREDIT_MAX,65.35311397623758,15
ACTIVE_DAYS_CREDIT_MEAN,60.05493243604173,15
ACTIVE_DAYS_CREDIT_MIN,51.355334191510096,15
ACTIVE_DAYS_CREDIT_SKEW,55.328166909736794,15
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,48.693590670680265,15
ACTIVE_DAYS_CREDIT_VAR,49.89908771697078,15
ACTIVE_DAY_OVERDUE_TO_DAYS_CREDIT_RATIO_SKEW,63.8430876625,15
ACTIVE_DAY_OVERDUE_TO_DAYS_CREDIT_RATIO_VAR,33.691226459999996,11
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MAX,22.524306295000002,10
ACTIVE_ENDDATE_FACT_TO_DAYS_CREDIT_RATIO_MEAN,6.8392767925,5
ACTIVE_ENDDATE_TO_DAYS_CREDIT_RATIO_MAX,56.25609031123926,15
